ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Updated On,Year,Latitude,Longitude,Location
8716498,HV391405,2012/07/20,048XX N CHRISTIANA AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,ALLEY,false,false,1713,39,04B,1153208,1932162,07/27/2012,2012,41.96970221,-87.71203223,"(41.96970221457799, -87.71203223150384)"
8716625,HV391381,2012/07/20,056XX S PRAIRIE AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0231,20,05,1179040,1867755,07/27/2012,2012,41.79241277,-87.61901928,"(41.79241277058553, -87.61901928468797)"
8715386,HV391419,2012/07/20,014XX N WELLS ST,0810,THEFT,OVER $500,STREET,false,false,1821,27,06,1174395,1910156,07/22/2012,2012,41.90886898,-87.63478695,"(41.90886897998897, -87.63478694991795)"
8714851,HV391412,2012/07/20,073XX S CHAMPLAIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,0323,6,08B,1181880,1856232,07/22/2012,2012,41.76072733,-87.60896143,"(41.76072733143997, -87.60896143222449)"
8719093,HV391519,2012/07/20,028XX W PRATT BLVD,0810,THEFT,OVER $500,STREET,false,false,2411,50,06,1155945,1945018,07/25/2012,2012,42.00492478,-87.7016195,"(42.00492478122278, -87.70161950269186)"
8714844,HV391396,2012/07/20,029XX N SACRAMENTO AVE,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,GAS STATION,false,false,1411,35,03,1155902,1919729,07/22/2012,2012,41.93553123,-87.70246282,"(41.93553122619979, -87.70246281874233)"
8718817,HV391393,2012/07/20,014XX W 51ST ST,0460,BATTERY,SIMPLE,RESIDENCE,true,false,0933,16,08B,1167231,1870957,07/25/2012,2012,41.80146052,-87.66222943,"(41.80146052497955, -87.66222942670007)"
8714847,HV391397,2012/07/20,006XX N DEARBORN ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1832,42,08B,1175786,1904526,07/23/2012,2012,41.89338879,-87.62984672,"(41.89338878830277, -87.62984672303091)"
8714803,HV391376,2012/07/20,059XX S PEORIA ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0712,16,08B,1171290,1865172,07/22/2012,2012,41.78549792,-87.64751284,"(41.7854979177905, -87.64751284491055)"
8714818,HV391378,2012/07/20,060XX N KENMORE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,2433,48,04A,1168106,1940338,07/22/2012,2012,41.99182784,-87.6570147,"(41.99182783847246, -87.65701469858854)"
8714859,HV391391,2012/07/20,105XX S EWING AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,true,false,0432,10,15,1202136,1835343,07/23/2012,2012,41.70291441,-87.53543358,"(41.70291440582353, -87.53543358324326)"
8716086,HV392465,2012/07/20,054XX N EAST RIVER RD,1320,CRIMINAL DAMAGE,TO VEHICLE,OTHER,false,false,1614,41,14,1116672,1935009,07/27/2012,2012,41.97816318,-87.84631945,"(41.978163182558305, -87.84631945205287)"
8718157,HV395026,2012/07/20,005XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,TAXICAB,false,false,1834,42,11,1177296,1904083,07/25/2012,2012,41.89213907,-87.62431454,"(41.89213906743085, -87.62431454374084)"
8718810,HV391377,2012/07/20,075XX S KINGSTON AVE,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,false,false,0421,7,04B,1194459,1855657,07/25/2012,2012,41.75884957,-87.56287848,"(41.75884957227357, -87.56287848022656)"
8716912,HV393453,2012/07/20,049XX S MARSHFIELD AVE,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,RESIDENCE,false,false,0931,16,17,1166213,1871996,07/24/2012,2012,41.80433341,-87.66593323,"(41.80433341191187, -87.6659332271605)"
8716160,HV392066,2012/07/20,009XX N CAMBRIDGE AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,1823,27,06,1172463,1906499,07/23/2012,2012,41.89887693,-87.64199241,"(41.898876929750244, -87.64199241251657)"
8715189,HV391507,2012/07/20,062XX S MORGAN ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,0712,16,05,1170759,1863258,07/23/2012,2012,41.78025728,-87.64951554,"(41.780257284783076, -87.6495155401462)"
8715418,HV391576,2012/07/20,087XX S EGGLESTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,2223,21,14,1174788,1846900,07/23/2012,2012,41.7352801,-87.63523129,"(41.73528009550497, -87.63523128925254)"
8715800,HV391755,2012/07/20,001XX W OHIO ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1832,42,06,1174995,1904201,07/22/2012,2012,41.89251473,-87.6327615,"(41.892514730526, -87.63276149802012)"
8714953,HV391486,2012/07/20,012XX S SPAULDING AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1021,24,14,1154525,1894011,07/22/2012,2012,41.86498635,-87.7082121,"(41.86498635422229, -87.70821210143211)"
8715150,HV391406,2012/07/20,024XX N DRAKE AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,1413,26,08B,1152345,1915866,07/22/2012,2012,41.92500192,-87.71563735,"(41.92500191972636, -87.71563735458054)"
8714813,HV391388,2012/07/20,004XX W ARLINGTON PL,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,1935,43,06,1173071,1916938,07/22/2012,2012,41.92750858,-87.63944908,"(41.92750858478771, -87.6394490790992)"
8714837,HV391408,2012/07/20,010XX N ELSTON AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,1323,27,06,1168426,1906953,07/22/2012,2012,41.90021105,-87.6568069,"(41.90021104700407, -87.65680689653584)"
8714841,HV391373,2012/07/20,043XX N MILWAUKEE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1624,45,08B,1142060,1928133,07/22/2012,2012,41.95886082,-87.75312445,"(41.958860822650266, -87.75312445096012)"
8714850,HV391369,2012/07/20,119XX S RACINE AVE,0460,BATTERY,SIMPLE,STREET,false,false,0524,34,08B,1170438,1825807,07/27/2012,2012,41.67749337,-87.65177953,"(41.6774933670532, -87.65177952770127)"
8714855,HV391372,2012/07/20,072XX S EAST END AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,true,0324,8,08B,1188824,1857439,07/23/2012,2012,41.76387617,-87.58347314,"(41.76387616825591, -87.58347313869552)"
8714805,HV391362,2012/07/20,070XX S DAMEN AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),false,false,0735,17,07,1164208,1857690,07/22/2012,2012,41.76511839,-87.67368918,"(41.765118387060475, -87.67368917579275)"
8714846,HV391368,2012/07/20,008XX W ARMITAGE AVE,0610,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,1812,43,05,1170044,1913541,07/22/2012,2012,41.91825373,-87.65067138,"(41.9182537264337, -87.65067138030881)"
8714868,HV391364,2012/07/20,051XX S LAPORTE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0814,23,08B,1144197,1869802,07/23/2012,2012,41.79875347,-87.74673361,"(41.79875346964241, -87.74673360655038)"
8718873,HV392090,2012/07/20,076XX S JEFFERY BLVD,1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,SMALL RETAIL STORE,false,false,0414,8,11,1190903,1854688,07/25/2012,2012,41.75627721,-87.57594204,"(41.7562772094371, -87.5759420364678)"
8714780,HV391345,2012/07/20,060XX W WABANSIA AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,true,2513,29,26,1135668,1910711,07/22/2012,2012,41.9111693,-87.77703998,"(41.91116929899223, -87.77703998318336)"
8714878,HV391415,2012/07/20,0000X W 95TH ST,0810,THEFT,OVER $500,CTA TRAIN,false,false,0634,21,06,1177743,1841988,07/22/2012,2012,41.72173465,-87.62455359,"(41.72173465483593, -87.6245535938707)"
8714819,HV391356,2012/07/20,083XX S HOLLAND RD,1310,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,false,false,0622,21,14,1175677,1849837,07/22/2012,2012,41.74331976,-87.63188666,"(41.74331976341941, -87.63188666196987)"
8714831,HV391344,2012/07/20,003XX E OHIO ST,0880,THEFT,PURSE-SNATCHING,SIDEWALK,false,false,1834,42,06,1178443,1904300,07/22/2012,2012,41.89270844,-87.62009553,"(41.89270843993368, -87.62009553496716)"
8714885,HV391380,2012/07/20,058XX S WESTERN AVE,2026,NARCOTICS,POSS: PCP,STREET,true,false,0824,16,18,1161336,1865683,07/22/2012,2012,41.78711225,-87.68399475,"(41.787112248652626, -87.6839947529904)"
8715220,HV391569,2012/07/20,031XX S SHIELDS AVE,1020,ARSON,BY FIRE,VEHICLE NON-COMMERCIAL,false,false,0915,11,09,1174425,1884166,07/27/2012,2012,41.83755006,-87.635453,"(41.837550062110836, -87.63545300400742)"
8714792,HV391341,2012/07/20,020XX W NORTH AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,false,1424,1,03,1162574,1910607,07/27/2012,2012,41.91036252,-87.67819894,"(41.910362515949316, -87.67819893669846)"
8714756,HV391348,2012/07/20,055XX W NORTH AVE,0560,ASSAULT,SIMPLE,SIDEWALK,true,true,2532,37,08A,1139201,1910047,07/22/2012,2012,41.90928359,-87.76407692,"(41.909283593971146, -87.76407692418404)"
8716087,HV392459,2012/07/20,099XX S SANGAMON ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,2232,34,11,1171701,1838652,07/24/2012,2012,41.71271456,-87.64678179,"(41.71271455805447, -87.64678178794935)"
8724930,HV391555,2012/07/20,036XX N OCONTO AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,1631,36,05,,,07/27/2012,2012,,,
